FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;45,2017;;
120317;0000;;55,9338;;
120318;0000;;44,3763;;
120319;0000;;18,3663;;
120320;0000;;21,1594;;
120321;0000;;29,6971;;
120322;0000;;37,27;;
120323;0000;;31,3421;;
120324;0000;;26,4921;;
120325;0000;;21,5713;;
120326;0000;;34,8746;;
120327;0000;;60,0425;;
120328;0000;;53,1971;;
120329;0000;;;;
120330;0000;;;;
120331;0000;;54,42;;
120401;0000;;33,3701;;
120402;0000;;52,1338;;
120403;0000;;47,0959;;
120404;0000;;23,1038;;
120405;0000;;27,2871;;
120406;0000;;26,1533;;
120407;0000;;20,1675;;
120408;0000;;19,9951;;
120409;0000;;37,4659;;
120410;0000;;53,6392;;
120411;0000;;65,2218;;
120412;0000;;64,8518;;
120413;0000;;89,2605;;
120414;0000;;44,2421;;
120415;0000;;35,7713;;
120416;0000;;46,5925;;
120417;0000;;52,6521;;
120418;0000;;51,6;;
120419;0000;;45,9954;;
120420;0000;;47,1871;;
120421;0000;;100,291;;
120422;0000;;78,2627;;
120423;0000;;72,5013;;
120424;0000;;125,184;;
120425;0000;;158,517;;
120426;0000;;176,225;;
120427;0000;;128,74;;
120428;0000;;53,4225;;
120429;0000;;106,947;;
120430;0000;;97,6272;;
120501;0000;;98,6783;;
120502;0000;;127,835;;
120503;0000;;93,4088;;
120504;0000;;145,822;;
120505;0000;;81,6293;;
120506;0000;;40,0492;;
120507;0000;;26,796;;
120508;0000;;;;
120509;0000;;134,851;;
120510;0000;;113,171;;
120511;0000;;34,5222;;
120512;0000;;163,588;;
120513;0000;;140,958;;
120514;0000;;253,341;;
120515;0000;;77,5234;;
120516;0000;;65,771;;
120517;0000;;144,698;;
120518;0000;;99,6664;;
120519;0000;;49,7042;;
120520;0000;;33,9026;;
120521;0000;;54,9259;;
120522;0000;;279,987;;
120523;0000;;215,134;;
120524;0000;;225,66;;
120525;0000;;65,6438;;
120526;0000;;17,6875;;
120527;0000;;27,8995;;
120528;0000;;34,6796;;
120529;0000;;108,149;;
120530;0000;;57,9042;;
120531;0000;;190,308;;
120601;0000;;124,966;;
120602;0000;;53,4592;;
120603;0000;;46,8388;;
120604;0000;;27,365;;
120605;0000;;36,3717;;
120606;0000;;39,1771;;
120607;0000;;64,9742;;
120608;0000;;278,274;;
120609;0000;;173,325;;
120610;0000;;206,859;;
120611;0000;;117,194;;
120612;0000;;15,5459;;
120613;0000;;81,791;;
120614;0000;;45,558;;
120615;0000;;88,3931;;
120616;0000;;30,55;;
120617;0000;;28,8217;;
120618;0000;;34,6801;;
120619;0000;;56,5134;;
120620;0000;;49,0317;;
120621;0000;;94,3256;;
120622;0000;;134,281;;
120623;0000;;125,964;;
120624;0000;;150,209;;
120625;0000;;205,84;;
120626;0000;;79,8905;;
120627;0000;;41,79;;
120628;0000;;41,548;;
120629;0000;;47,9485;;
120630;0000;;35,2059;;
120701;0000;;78,5858;;
120702;0000;;55,0696;;
120703;0000;;129,259;;
120704;0000;;58,8188;;
120705;0000;;147,149;;
120706;0000;;215,181;;
120707;0000;;311,198;;
120708;0000;;64,1864;;
120709;0000;;27,5738;;
120710;0000;;30,5992;;
120711;0000;;151,958;;
120712;0000;;;;
120713;0000;;;;
120714;0000;;53,4892;;
120715;0000;;111,14;;
120716;0000;;48,7792;;
120717;0000;;103,915;;
120718;0000;;37,6971;;
120719;0000;;108,997;;
120720;0000;;81,3018;;
120721;0000;;112,306;;
120722;0000;;182,041;;
120723;0000;;83,1384;;
120724;0000;;38,2863;;
120725;0000;;35,3333;;
120726;0000;;50,1346;;
120727;0000;;49,5067;;
120728;0000;;36,6105;;
120729;0000;;33,9022;;
120730;0000;;129,433;;
120731;0000;;82,0146;;
120801;0000;;37,778;;
120802;0000;;22,507;;
120803;0000;;76,0355;;
120804;0000;;194,693;;
120805;0000;;82,448;;
120806;0000;;74,1614;;
120807;0000;;96,8093;;
120808;0000;;125,827;;
120809;0000;;52,4809;;
120810;0000;;50,0776;;
120811;0000;;52,4163;;
120812;0000;;76,4043;;
120813;0000;;123,152;;
120814;0000;;58,8959;;
120815;0000;;29,9355;;
120816;0000;;30,5876;;
120817;0000;;54,3163;;
120818;0000;;56,9717;;
120819;0000;;40,2996;;
120820;0000;;61,8105;;
120821;0000;;50,4517;;
120822;0000;;24,4785;;
120823;0000;;96,6422;;
120824;0000;;57,7534;;
120825;0000;;76,9801;;
120826;0000;;103,044;;
120827;0000;;171,247;;
120828;0000;;86,3793;;
120829;0000;;76,2472;;
120830;0000;;75,7627;;
120831;0000;;73,5272;;
120901;0000;;45,9684;;
120902;0000;;41,7259;;
120903;0000;;59,5446;;
120904;0000;;33,1342;;
120905;0000;;57,8617;;
120906;0000;;117,102;;
120907;0000;;73,088;;
120908;0000;;29,6296;;
120909;0000;;66,3834;;
120910;0000;;83,0844;;
120911;0000;;62,5822;;
120912;0000;;50,1534;;
120913;0000;;44,8038;;
120914;0000;;50,4238;;
120915;0000;;34,9492;;
120916;0000;;61,4163;;
120917;0000;;36,2725;;
120918;0000;;23,2813;;
120919;0000;;38,78;;
120920;0000;;36,853;;
120921;0000;;26,9788;;
120922;0000;;23,87;;
120923;0000;;24,5521;;
120924;0000;;62,0787;;
120925;0000;;77,4667;;
120926;0000;;58,4675;;
120927;0000;;42,9617;;
120928;0000;;43,5679;;
120929;0000;;28,9853;;
120930;0000;;;;
121001;0000;;;;
121002;0000;;38,6371;;
121003;0000;;42,4513;;
121004;0000;;45,0517;;
121005;0000;;24,7133;;
121006;0000;;23,3979;;
121007;0000;;20,9213;;
121008;0000;;27,2609;;
121009;0000;;32,8317;;
121010;0000;;33,7984;;
121011;0000;;39,9942;;
121012;0000;;33,3411;;
121013;0000;;33,8771;;
121014;0000;;29,2859;;
121015;0000;;27,0875;;
121016;0000;;40,3413;;
121017;0000;;43,778;;
121018;0000;;28,2354;;
121019;0000;;45,5888;;
121020;0000;;36,9547;;
121021;0000;;26,112;;
121022;0000;;25,4176;;
121023;0000;;20,6271;;
121024;0000;;23,5578;;
121025;0000;;33,6526;;
121026;0000;;28,6763;;
121027;0000;;34,868;;
121028;0000;;28,6604;;
121029;0000;;39,7955;;
121030;0000;;39,6009;;
121031;0000;;;;
121101;0000;;;;
121102;0000;;30,2679;;
121103;0000;;28,1263;;
121104;0000;;31,8854;;
121105;0000;;46,5417;;
121106;0000;;35,6425;;
121107;0000;;30,2679;;
121108;0000;;29,0073;;
121109;0000;;26,0852;;
121110;0000;;26,7249;;
121111;0000;;20,6517;;
121112;0000;;32,4857;;
121113;0000;;33,7259;;
121114;0000;;29,9996;;
121115;0000;;44,1627;;
121116;0000;;35,6305;;
121117;0000;;26,68;;
121118;0000;;23,7725;;
121119;0000;;28,3513;;
121120;0000;;30,3942;;
121121;0000;;37,5817;;
121122;0000;;43,718;;
121123;0000;;37,462;;
121124;0000;;43,5849;;
121125;0000;;22,2554;;
121126;0000;;33,8717;;
121127;0000;;38,295;;
121128;0000;;50,4917;;
121129;0000;;19,5746;;
121130;0000;;19,0775;;
121201;0000;;19,723;;
121202;0000;;10,8419;;
121203;0000;;21,9263;;
121204;0000;;20,9471;;
121205;0000;;22,4346;;
121206;0000;;15,1561;;
121207;0000;;18,1726;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;23,8283;;
121213;0000;;30,0254;;
121214;0000;;28,7105;;
121215;0000;;;;
121216;0000;;22,9211;;
121217;0000;;36,3546;;
121218;0000;;13,2051;;
121219;0000;;12,8788;;
121220;0000;;20,4084;;
121221;0000;;21,6171;;
121222;0000;;23,4952;;
121223;0000;;23,1763;;
121224;0000;;20,5821;;
121225;0000;;10,4249;;
121226;0000;;19,9988;;
121227;0000;;19,1131;;
121228;0000;;22,4088;;
121229;0000;;26,1125;;
121230;0000;;14,8641;;
121231;0000;;23,1182;;
130101;0000;27,4733;;;
130102;0000;40,65;;;
130103;0000;32,183;;;
130104;0000;38,0133;;;
130105;0000;30,8071;;;
130106;0000;17,2192;;;
130107;0000;16,6085;;;
130108;0000;35,0892;;;
130109;0000;40,007;;;
130110;0000;37,3571;;;
130111;0000;42,5866;;;
130112;0000;34,935;;;
130113;0000;29,74;;;
130114;0000;37,1487;;;
130115;0000;52,9175;;;
130116;0000;41,4079;;;
130117;0000;42,7554;;;
130118;0000;50,4816;;;
130119;0000;39,7775;;;
130120;0000;22,6883;;;
130121;0000;28,8441;;;
130122;0000;41,8025;;;
130123;0000;41,0259;;;
130124;0000;30,4192;;;
130125;0000;34,5591;;;
130126;0000;45,2521;;;
130127;0000;39,4238;;;
130128;0000;28,9308;;;
130129;0000;36,615;;;
130130;0000;42,0608;;;
130131;0000;52,2987;;;
130201;0000;38,1741;;;
130202;0000;28,3887;;;
130203;0000;35,9483;;;
130204;0000;46,1292;;;
130205;0000;38,9542;;;
130206;0000;47,3066;;;
130207;0000;45,9455;;;
130208;0000;46,6268;;;
130209;0000;62,5559;;;
130210;0000;19,3441;;;
130211;0000;26,1638;;;
130212;0000;26,0226;;;
130213;0000;29,1284;;;
130214;0000;33,6625;;;
130215;0000;23,8475;;;
130216;0000;16,1896;;;
130217;0000;14,2784;;;
130218;0000;18,5955;;;
130219;0000;24,6371;;;
130220;0000;34,4624;;;
130221;0000;35,6718;;;
130222;0000;34,3047;;;
130223;0000;18,8609;;;
130224;0000;26,0521;;;
130225;0000;26,9575;;;
130226;0000;33,155;;;
130227;0000;33,9351;;;
130228;0000;26,2787;;;
130301;0000;37,2833;;;
130302;0000;36,9421;;;
130303;0000;49,7341;;;
130304;0000;49,1249;;;
130305;0000;42,347;;;
130306;0000;17,4286;;;
130307;0000;26,4641;;;
130308;0000;43,9058;;;
130309;0000;30,9875;;;
130310;0000;24,2917;;;
130311;0000;34,9271;;;
130312;0000;39,2542;;;
130313;0000;41,1296;;;
130314;0000;61,4962;;;
130315;0000;83,547;;;
130316;0000;125,165;;;
130317;0000;62,1566;;;
130318;0000;48,8116;;;
130319;0000;66,7225;;;
130320;0000;29,649;;;
130321;0000;25,3723;;;
130322;0000;32,8628;;;
130323;0000;50,7113;;;
130324;0000;40,3005;;;
130325;0000;31,5321;;;
130326;0000;46,3958;;;
130327;0000;59,1609;;;
130328;0000;58,8466;;;
130329;0000;47,6004;;;
130330;0000;26,7871;;;
130331;0000;46,0404;;;
130401;0000;37,7162;;;
130402;0000;47,2567;;;
130403;0000;63,1154;;;
130404;0000;69,1204;;;
130405;0000;43,0162;;;
130406;0000;33,75;;;
130407;0000;21,6896;;;
130408;0000;66,8839;;;
130409;0000;83,547;;;
130410;0000;48,98;;;
130411;0000;16,8112;;;
130412;0000;21,9104;;;
130413;0000;33,6654;;;
130414;0000;46,6758;;;
130415;0000;49,78;;;
130416;0000;38,8942;;;
130417;0000;59,1758;;;
130418;0000;75,4486;;;
130419;0000;45,0562;;;
130420;0000;87,1886;;;
130421;0000;46,1927;;;
130422;0000;34,7238;;;
130423;0000;40,7167;;;
130424;0000;129,909;;;
130425;0000;87,8104;;;
130426;0000;89,1312;;;
130427;0000;112,246;;;
130428;0000;;;;
130429;0000;;;;
130430;0000;;;;
130501;0000;52,0471;;;
130502;0000;21,735;;;
130503;0000;61,1709;;;
130504;0000;56,8071;;;
130505;0000;29,7666;;;
130506;0000;26,2087;;;
130507;0000;162,361;;;
130508;0000;187,262;;;
130509;0000;89,7537;;;
130510;0000;108,688;;;
130511;0000;62,3758;;;
130512;0000;26,8896;;;
130513;0000;61,4612;;;
130514;0000;61,8404;;;
130515;0000;25,2551;;;
130516;0000;111,294;;;
130517;0000;315,777;;;
130518;0000;109,266;;;
130519;0000;66,4425;;;
130520;0000;124,614;;;
130521;0000;172,446;;;
130522;0000;221,689;;;
130523;0000;133,376;;;
130524;0000;43,9596;;;
130525;0000;58,4929;;;
130526;0000;57,962;;;
130527;0000;23,1117;;;
130528;0000;27,9046;;;
130529;0000;68,0374;;;
130530;0000;76,2521;;;
130531;0000;29,8674;;;
130601;0000;49,6304;;;
130602;0000;96,6683;;;
130603;0000;26,2361;;;
130604;0000;34,2933;;;
130605;0000;30,6358;;;
130606;0000;49,6262;;;
130607;0000;39,5596;;;
130608;0000;93,1929;;;
130609;0000;50,1683;;;
130610;0000;75,8833;;;
130611;0000;50,4095;;;
130612;0000;65,4514;;;
130613;0000;44,1113;;;
130614;0000;50,9637;;;
130615;0000;54,9866;;;
130616;0000;29,0708;;;
130617;0000;101,591;;;
130618;0000;62,9433;;;
130619;0000;93,6996;;;
130620;0000;169,965;;;
130621;0000;79,1649;;;
130622;0000;34,0675;;;
130623;0000;23,6146;;;
130624;0000;48,6966;;;
130625;0000;47,5108;;;
130626;0000;40,8809;;;
130627;0000;24,0717;;;
130628;0000;43,1454;;;
130629;0000;45,3233;;;
130630;0000;136,438;;;
130701;0000;130,231;;;
130702;0000;37,3821;;;
130703;0000;35,8471;;;
130704;0000;68,1604;;;
130705;0000;64,8862;;;
130706;0000;52,0446;;;
130707;0000;148,405;;;
130708;0000;75,3142;;;
130709;0000;29,4154;;;
130710;0000;26,3461;;;
130711;0000;93,793;;;
130712;0000;51,6933;;;
130713;0000;156,803;;;
130714;0000;119,532;;;
130715;0000;29,1067;;;
130716;0000;26,2892;;;
130717;0000;45,0092;;;
130718;0000;47,5963;;;
130719;0000;95,9421;;;
130720;0000;119,182;;;
130721;0000;49,7204;;;
130722;0000;72,2408;;;
130723;0000;53,6754;;;
130724;0000;54,7592;;;
130725;0000;141,24;;;
130726;0000;68,1725;;;
130727;0000;110,339;;;
130728;0000;52,7925;;;
130729;0000;55,0195;;;
130730;0000;47,7016;;;
130731;0000;91,3788;;;
130801;0000;70,5596;;;
130802;0000;89,8933;;;
130803;0000;;;;
130804;0000;;;;
130805;0000;;;;
130806;0000;69,9929;;;
130807;0000;99,8018;;;
130808;0000;82,7191;;;
130809;0000;61,2979;;;
130810;0000;85,2417;;;
130811;0000;28,265;;;
130812;0000;37,0662;;;
130813;0000;42,0429;;;
130814;0000;236,784;;;
130815;0000;117,48;;;
130816;0000;52,842;;;
130817;0000;209,467;;;
130818;0000;88,8529;;;
130819;0000;42,2354;;;
130820;0000;108,114;;;
130821;0000;59,9954;;;
130822;0000;28,1167;;;
130823;0000;42,8958;;;
130824;0000;155,68;;;
130825;0000;197,62;;;
130826;0000;175,575;;;
130827;0000;87,4178;;;
130828;0000;38,0466;;;
130829;0000;52,6533;;;
130830;0000;64,9958;;;
130831;0000;75,5321;;;
130901;0000;162,118;;;
130902;0000;140,543;;;
130903;0000;122,667;;;
130904;0000;76,1354;;;
130905;0000;40,0999;;;
130906;0000;38,1141;;;
130907;0000;36,0859;;;
130908;0000;38,6964;;;
130909;0000;31,5832;;;
130910;0000;59,6193;;;
130911;0000;50,5929;;;
130912;0000;24,855;;;
130913;0000;31,2783;;;
130914;0000;51,6525;;;
130915;0000;46,7712;;;
130916;0000;84,2303;;;
130917;0000;56,2762;;;
130918;0000;39,645;;;
130919;0000;32,3438;;;
130920;0000;40,1462;;;
130921;0000;31,3033;;;
130922;0000;25,6992;;;
130923;0000;44,31;;;
130924;0000;65,2288;;;
130925;0000;54,5704;;;
130926;0000;41,3933;;;
130927;0000;50,44;;;
130928;0000;49,61;;;
130929;0000;36,9517;;;
130930;0000;44,6758;;;
131001;0000;41,4546;;;
131002;0000;27,4861;;;
131003;0000;46,1967;;;
131004;0000;36,1729;;;
131005;0000;32,3962;;;
131006;0000;32,6212;;;
131007;0000;38,8087;;;
131008;0000;22,0991;;;
131009;0000;33,3212;;;
131010;0000;36,0995;;;
131011;0000;36,51;;;
131012;0000;26,5096;;;
131013;0000;26,1138;;;
131014;0000;43,4234;;;
131015;0000;30,6811;;;
131016;0000;33,1617;;;
131017;0000;33,5121;;;
131018;0000;26,5104;;;
131019;0000;25,7867;;;
131020;0000;16,6057;;;
131021;0000;18,24;;;
131022;0000;14,7826;;;
131023;0000;16,1981;;;
131024;0000;26,4804;;;
131025;0000;36,4225;;;
131026;0000;27,6166;;;
131027;0000;31,0337;;;
131028;0000;50,1654;;;
131029;0000;26,3538;;;
131030;0000;39,5904;;;
131031;0000;33,8184;;;
131101;0000;21,617;;;
131102;0000;17,0925;;;
131103;0000;17,6721;;;
131104;0000;19,3359;;;
131105;0000;23,9387;;;
131106;0000;27,3161;;;
131107;0000;18,4529;;;
131108;0000;18,735;;;
131109;0000;26,6917;;;
131110;0000;24,565;;;
131111;0000;22,2684;;;
131112;0000;24,1492;;;
131113;0000;33,6434;;;
131114;0000;20,3149;;;
131115;0000;26,9746;;;
131116;0000;23,1846;;;
131117;0000;26,7133;;;
131118;0000;26,9305;;;
131119;0000;31,6358;;;
131120;0000;41,4121;;;
131121;0000;43,0137;;;
131122;0000;40,3116;;;
131123;0000;32,0237;;;
131124;0000;16,4658;;;
131125;0000;26,1228;;;
131126;0000;40,8445;;;
131127;0000;36,62;;;
131128;0000;19,9117;;;
131129;0000;27,2854;;;
131130;0000;25,6255;;;
131201;0000;26,4908;;;
131202;0000;29,9225;;;
131203;0000;44,4046;;;
131204;0000;30,6983;;;
131205;0000;25,0446;;;
131206;0000;34,4342;;;
131207;0000;48,5129;;;
131208;0000;47,9084;;;
131209;0000;27,044;;;
131210;0000;36,6151;;;
131211;0000;36,1896;;;
131212;0000;33,0975;;;
131213;0000;32,035;;;
131214;0000;38,9846;;;
131215;0000;30,035;;;
131216;0000;43,2537;;;
131217;0000;38,0604;;;
131218;0000;38,1466;;;
131219;0000;43,0963;;;
131220;0000;38,5859;;;
131221;0000;35,5372;;;
131222;0000;36,3796;;;
131223;0000;56,2795;;;
131224;0000;33,5675;;;
131225;0000;38,1633;;;
131226;0000;30,0292;;;
131227;0000;35,6525;;;
131228;0000;39,6646;;;
131229;0000;27,3634;;;
131230;0000;33,1759;;;
131231;0000;30,7125;;;
140101;0000;33,1914;;;
140102;0000;42,0113;;;
140103;0000;35,6019;;;
140104;0000;84,1954;;;
140105;0000;33,5384;;;
140106;0000;45,5963;;;
140107;0000;50,9517;;;
140108;0000;38,4875;;;
140109;0000;29,1688;;;
140110;0000;30,91;;;
140111;0000;37,9037;;;
140112;0000;39,8158;;;
140113;0000;53,8604;;;
140114;0000;71,3009;;;
140115;0000;76,4716;;;
140116;0000;43,0787;;;
140117;0000;43,5454;;;
140118;0000;31,9129;;;
140119;0000;24,8271;;;
140120;0000;26,5437;;;
140121;0000;25,5592;;;
140122;0000;28,7504;;;
140123;0000;19,6579;;;
140124;0000;14,9358;;;
140125;0000;22,4667;;;
140126;0000;28,0546;;;
140127;0000;32,04;;;
140128;0000;25,2042;;;
140129;0000;28,5217;;;
140130;0000;20,8334;;;
140131;0000;24,4237;;;
140201;0000;21,2892;;;
140202;0000;17,1198;;;
140203;0000;21,0342;;;
140204;0000;24,7925;;;
140205;0000;15,0061;;;
140206;0000;14,481;;;
140207;0000;18,8209;;;
140208;0000;19,1191;;;
140209;0000;16,0416;;;
140210;0000;30,2521;;;
140211;0000;30,6062;;;
140212;0000;34,0517;;;
140213;0000;41,81;;;
140214;0000;38,3513;;;
140215;0000;41,9542;;;
140216;0000;36,5908;;;
140217;0000;37,4279;;;
140218;0000;31,8542;;;
140219;0000;28,3204;;;
140220;0000;41,3217;;;
140221;0000;32,8929;;;
140222;0000;38,4642;;;
140223;0000;34,3513;;;
140224;0000;44,4813;;;
140225;0000;38,6216;;;
140226;0000;48,1804;;;
140227;0000;44,9341;;;
140228;0000;36,1255;;;
140301;0000;34,5783;;;
140302;0000;42,777;;;
140303;0000;37,585;;;
140304;0000;34,0825;;;
140305;0000;33,4446;;;
140306;0000;36,735;;;
140307;0000;48,1251;;;
140308;0000;36,2813;;;
140309;0000;16,779;;;
140310;0000;24,9208;;;
140311;0000;29,3029;;;
140312;0000;25,6429;;;
140313;0000;30,58;;;
140314;0000;49,7571;;;
140315;0000;29,1183;;;
140316;0000;21,05;;;
140317;0000;16,7085;;;
140318;0000;45,3752;;;
140319;0000;51,1146;;;
140320;0000;59,4116;;;
140321;0000;53,7825;;;
140322;0000;40,2316;;;
140323;0000;29,9355;;;
140324;0000;39,9638;;;
140325;0000;61,7216;;;
140326;0000;56,8021;;;
140327;0000;53,4512;;;
140328;0000;50,0737;;;
140329;0000;39,8679;;;
140330;0000;28,3182;;;
140331;0000;25,2238;;;
140401;0000;69,2021;;;
140402;0000;43,2075;;;
140403;0000;73,1934;;;
140404;0000;56,3538;;;
140405;0000;62,6058;;;
140406;0000;57,975;;;
140407;0000;55,2496;;;
140408;0000;40,2996;;;
140409;0000;40,853;;;
140410;0000;;;;
140411;0000;51,8741;;;
140412;0000;24,3454;;;
140413;0000;17,2079;;;
140414;0000;27,4458;;;
140415;0000;27,3325;;;
140416;0000;26,54;;;
140417;0000;34,1171;;;
140418;0000;33,0992;;;
140419;0000;27,9428;;;
140420;0000;27,1504;;;
140421;0000;35,0496;;;
140422;0000;27,5442;;;
140423;0000;35,5283;;;
140424;0000;87,3267;;;
140425;0000;85,8141;;;
140426;0000;70,9774;;;
140427;0000;32,7108;;;
140428;0000;49,5491;;;
140429;0000;142,956;;;
140430;0000;84,8962;;;
140501;0000;70,0941;;;
140502;0000;37,5129;;;
140503;0000;20,9989;;;
140504;0000;31,5089;;;
140505;0000;130,891;;;
140506;0000;120,565;;;
140507;0000;59,5654;;;
140508;0000;55,9637;;;
140509;0000;54,5133;;;
140510;0000;31,9984;;;
140511;0000;66,3229;;;
140512;0000;94,3267;;;
140513;0000;80;;;
140514;0000;41,6616;;;
140515;0000;77,6433;;;
140516;0000;23,9096;;;
140517;0000;73,46;;;
140518;0000;45,1208;;;
140519;0000;119,845;;;
140520;0000;38,3658;;;
140521;0000;53,9046;;;
140522;0000;57,9229;;;
140523;0000;240,743;;;
140524;0000;133,152;;;
140525;0000;129,477;;;
140526;0000;162,566;;;
140527;0000;197,41;;;
140528;0000;59,2875;;;
140529;0000;86,0854;;;
140530;0000;150,591;;;
140531;0000;;;;
140601;0000;82,9827;;;
140602;0000;42,3792;;;
140603;0000;17,2368;;;
140604;0000;26,0385;;;
140605;0000;83,03;;;
140606;0000;30,9546;;;
140607;0000;19,1358;;;
140608;0000;22,9052;;;
140609;0000;58,7425;;;
140610;0000;23,7432;;;
140611;0000;32,2333;;;
140612;0000;52,9858;;;
140613;0000;117,32;;;
140614;0000;42,1996;;;
140615;0000;106,812;;;
140616;0000;31,605;;;
140617;0000;35,7008;;;
140618;0000;248,89;;;
140619;0000;97,8405;;;
140620;0000;65,4331;;;
140621;0000;37,1883;;;
140622;0000;159,36;;;
140623;0000;69,271;;;
140624;0000;;;;
140625;0000;194,215;;;
140626;0000;127,378;;;
140627;0000;100,445;;;
140628;0000;73,9292;;;
140629;0000;55,2646;;;
140630;0000;50,5692;;;
140701;0000;42,2537;;;
140702;0000;88,8488;;;
140703;0000;74,2858;;;
140704;0000;68,6008;;;
140705;0000;111,696;;;
140706;0000;101,365;;;
140707;0000;44,3192;;;
140708;0000;148,777;;;
140709;0000;191,25;;;
140710;0000;106,059;;;
140711;0000;92,4954;;;
140712;0000;175,893;;;
140713;0000;110,747;;;
140714;0000;30,5467;;;
140715;0000;37,8508;;;
140716;0000;56,1567;;;
140717;0000;39,0079;;;
140718;0000;35,6512;;;
140719;0000;165,585;;;
140720;0000;71,9803;;;
140721;0000;79,052;;;
140722;0000;37,0316;;;
140723;0000;47,5995;;;
140724;0000;68,7279;;;
140725;0000;139,544;;;
140726;0000;82,5962;;;
140727;0000;28,9221;;;
140728;0000;21,6783;;;
140729;0000;123,205;;;
140730;0000;67,5884;;;
140731;0000;16,7181;;;
140801;0000;17,253;;;
140802;0000;21,8792;;;
140803;0000;86,9408;;;
140804;0000;54,7313;;;
140805;0000;36,7883;;;
140806;0000;84,3741;;;
140807;0000;35,3383;;;
140808;0000;63,4021;;;
140809;0000;55,9246;;;
140810;0000;31,1761;;;
140811;0000;52,3054;;;
140812;0000;26,6393;;;
140813;0000;41,4479;;;
140814;0000;153,158;;;
140815;0000;159,939;;;
140816;0000;197,036;;;
140817;0000;134,728;;;
140818;0000;168,888;;;
140819;0000;62,777;;;
140820;0000;62,4587;;;
140821;0000;92,8716;;;
140822;0000;59,6329;;;
140823;0000;24,43;;;
140824;0000;43,496;;;
140825;0000;40,5133;;;
140826;0000;73,5912;;;
140827;0000;124,309;;;
140828;0000;92,7537;;;
140829;0000;38,7975;;;
140830;0000;39,4258;;;
140831;0000;43,9596;;;
140901;0000;17,0196;;;
140902;0000;26,8071;;;
140903;0000;52,0604;;;
140904;0000;26,7529;;;
140905;0000;19,6435;;;
140906;0000;;;;
140907;0000;;;;
140908;0000;62,3652;;;
140909;0000;88,3387;;;
140910;0000;48,7479;;;
140911;0000;172,865;;;
140912;0000;48,6216;;;
140913;0000;53,9079;;;
140914;0000;47,0133;;;
140915;0000;49,415;;;
140916;0000;43,0621;;;
140917;0000;64,3446;;;
140918;0000;47,7792;;;
140919;0000;28,9556;;;
140920;0000;30,1729;;;
140921;0000;44,9508;;;
140922;0000;48,5185;;;
140923;0000;25,5175;;;
